<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIK,60,20240411,100000,6.74277,6.74277,6.74277,6.74277,1.0529801325,0
WIK,60,20240412,120000,6.69528,6.69528,6.6478,6.6478,210.5960265,0
WIK,60,20240412,160000,6.74277,6.74277,6.74277,6.74277,1.0529801325,0
WIK,60,20240412,170000,6.6478,6.6478,6.60031,6.6478,602.30463579,0
WIK,60,20240415,100000,6.60031,6.60031,6.55283,6.55283,1906.9470199575003,0
WIK,60,20240415,150000,6.60031,6.60031,6.60031,6.60031,234.8145695475,0
WIK,60,20240416,170000,6.31541,6.55283,6.31541,6.50535,791.84105964,0
WIK,60,20240417,100000,6.22044,6.50535,6.22044,6.50535,632.8410596325001,0
WIK,60,20240418,160000,6.45786,6.55283,6.45786,6.55283,3158.9403975000005,0
WIK,60,20240419,130000,6.55283,6.55283,6.55283,6.55283,356.9602649175,0
WIK,60,20240419,140000,6.55283,6.55283,6.55283,6.55283,69.496688745,0
WIK,60,20240419,170000,6.6478,6.6478,6.6478,6.6478,10.529801325000001,0
WIK,60,20240422,100000,6.60031,6.69528,6.60031,6.69528,543.3377483700001,0
WIK,60,20240422,120000,6.74277,6.74277,6.74277,6.74277,42.119205300000004,0
WIK,60,20240422,130000,6.74277,6.74277,6.74277,6.74277,129.51655629750002,0
WIK,60,20240422,170000,6.74277,6.79025,6.74277,6.79025,590.7218543325,0
WIK,60,20240423,100000,6.79025,6.79025,6.74277,6.74277,1175.1258278700002,0
WIK,60,20240423,110000,6.60031,6.83774,6.55283,6.83774,983.483443755,0
WIK,60,20240424,100000,6.83774,6.83774,6.83774,6.83774,1052.9801325,0
WIK,60,20240424,110000,6.83774,7.02767,6.83774,7.02767,76.8675496725,0
WIK,60,20240424,120000,7.02767,7.12264,7.02767,7.12264,2467.1324504475,0
WIK,60,20240424,140000,7.12264,7.17013,7.12264,7.17013,314.84105961750004,0
WIK,60,20240424,150000,7.17013,7.26509,7.17013,7.26509,3059.960265045,0
WIK,60,20240425,110000,7.17013,7.17013,7.17013,7.17013,389.60264902500006,0
WIK,60,20240425,130000,6.98019,7.17013,6.98019,6.98019,1296.2185431075002,0
WIK,60,20240425,150000,6.69528,7.02767,6.69528,7.02767,16.84768212,0
WIK,60,20240426,120000,6.74277,6.9327,6.74277,6.9327,585.45695367,0
WIK,60,20240426,170000,6.9327,6.98019,6.74277,6.74277,188.48344371750002,0
WIK,60,20240429,120000,6.74277,6.74277,6.74277,6.74277,21.059602650000002,0
WIK,60,20240429,130000,6.9327,6.9327,6.9327,6.9327,1.0529801325,0
WIK,60,20240429,140000,6.9327,6.9327,6.9327,6.9327,1347.8145696000001,0
WIK,60,20240429,150000,6.9327,7.02767,6.9327,7.02767,1949.0662252575,0
WIK,60,20240429,160000,7.17013,7.17013,7.12264,7.12264,68.4437086125,0
WIK,60,20240429,170000,7.12264,7.17013,7.12264,7.17013,37.90728477,0
WIK,60,20240430,100000,7.17013,7.17013,7.07516,7.17013,1006.64900667,0
WIK,60,20240430,110000,6.98019,7.17013,6.98019,6.98019,926.6225166,0
WIK,60,20240430,160000,7.17013,7.17013,7.17013,7.17013,694.9668874500001,0
WIK,60,20240430,170000,7.17013,7.17013,7.17013,7.17013,717.0794702325001,0
WIK,60,20240502,100000,7.07516,7.26509,7.02767,7.26509,591.774834465,0
WIK,60,20240502,120000,7.26509,7.36006,7.26509,7.36006,3050.4834438525004,0
WIK,60,20240502,130000,7.40755,7.40755,7.36006,7.36006,473.84105962500007,0
WIK,60,20240502,160000,7.40755,7.40755,6.98019,6.98019,2507.1456954825,0
WIK,60,20240502,170000,6.98019,7.07516,6.98019,7.07516,1435.2119205975,0
WIK,60,20240506,100000,7.07516,7.07516,7.07516,7.07516,394.86754968750006,0
WIK,60,20240506,130000,7.12264,7.12264,7.12264,7.12264,21.059602650000002,0
WIK,60,20240506,140000,6.9327,7.12264,6.9327,7.12264,252.71523180000003,0
WIK,60,20240506,160000,7.07516,7.12264,7.07516,7.12264,4108.728477015,0
WIK,60,20240506,170000,7.17013,7.45503,7.17013,7.45503,1475.2251656325,0
WIK,60,20240507,100000,7.45503,7.45503,7.40755,7.40755,2987.3046359025,0
WIK,60,20240507,110000,7.40755,7.40755,7.40755,7.40755,526.49006625,0
WIK,60,20240508,100000,7.40755,7.40755,7.40755,7.40755,737.08609275,0
WIK,60,20240508,110000,7.40755,7.40755,7.40755,7.40755,288.51655630500005,0
WIK,60,20240508,120000,7.40755,7.40755,7.40755,7.40755,737.08609275,0
WIK,60,20240508,160000,7.40755,7.40755,7.31258,7.31258,295.8874172325,0
WIK,60,20240508,170000,7.40755,7.40755,7.40755,7.40755,1.0529801325,0
WIK,60,20240509,100000,7.40755,7.40755,7.40755,7.40755,366.43708611000005,0
WIK,60,20240509,110000,7.45503,7.45503,7.45503,7.45503,174.79470199500003,0
WIK,60,20240509,120000,7.31258,7.31258,7.31258,7.31258,257.9801324625,0
WIK,60,20240509,140000,7.31258,7.45503,7.31258,7.45503,73.70860927500001,0
WIK,60,20240509,170000,7.17013,7.45503,7.17013,7.45503,5.2649006625,0
WIK,60,20240510,110000,7.17013,7.17013,7.17013,7.17013,1579.4701987500002,0
WIK,60,20240510,120000,7.17013,7.17013,7.17013,7.17013,97.9271523225,0
WIK,60,20240510,160000,7.21761,7.21761,7.21761,7.21761,422.2450331325,0
WIK,60,20240510,170000,6.9327,7.21761,6.9327,7.21761,853.9668874575,0
WIK,60,20240513,100000,7.21761,7.21761,7.21761,7.21761,210.59602650000002,0
WIK,60,20240513,120000,7.21761,7.21761,7.21761,7.21761,1052.9801325,0
WIK,60,20240513,130000,7.40755,7.40755,7.40755,7.40755,1.0529801325,0
WIK,60,20240513,140000,7.40755,7.40755,7.40755,7.40755,104.24503311750001,0
WIK,60,20240514,110000,7.40755,7.45503,7.40755,7.45503,526.49006625,0
WIK,60,20240514,120000,7.45503,7.45503,7.45503,7.45503,421.19205300000004,0
WIK,60,20240514,140000,7.45503,7.50252,7.45503,7.50252,2274.4370862,0
WIK,60,20240514,150000,7.40755,7.40755,7.40755,7.40755,689.7019867875001,0
WIK,60,20240514,160000,7.36006,7.45503,7.31258,7.45503,3878.1258279975004,0
WIK,60,20240514,170000,7.50252,7.50252,7.50252,7.50252,884.5033113000001,0
WIK,60,20240515,100000,7.64497,7.64497,7.64497,7.64497,1747.9470199500001,0
WIK,60,20240515,120000,7.64497,7.64497,7.45503,7.59748,706.5496689075,0
WIK,60,20240515,130000,7.59748,7.59748,7.59748,7.59748,67.39072848,0
WIK,60,20240515,140000,7.64497,7.69245,7.64497,7.69245,1579.4701987500002,0
WIK,60,20240515,150000,7.64497,7.69245,7.64497,7.69245,944.5231788525,0
WIK,60,20240515,160000,7.69245,7.69245,7.69245,7.69245,73.70860927500001,0
WIK,60,20240515,170000,7.78742,7.88239,7.78742,7.88239,1453.11258285,0
WIK,60,20240516,100000,7.88239,8.26226,7.88239,8.26226,1543.668874245,0
WIK,60,20240516,110000,8.26226,8.26226,8.26226,8.26226,6251.5430466525,0
WIK,60,20240516,130000,8.30975,8.30975,8.30975,8.30975,63.17880795000001,0
WIK,60,20240516,140000,8.30975,8.30975,8.30975,8.30975,157.94701987500002,0
WIK,60,20240516,150000,8.26226,8.26226,8.02484,8.02484,796.0529801700001,0
WIK,60,20240516,160000,8.02484,8.30975,8.02484,8.30975,269.56291392,0
WIK,60,20240517,100000,8.26226,8.26226,8.26226,8.26226,210.59602650000002,0
WIK,60,20240517,110000,8.26226,8.26226,8.26226,8.26226,712.8675497025001,0
WIK,60,20240517,120000,8.30975,8.30975,8.30975,8.30975,21.059602650000002,0
WIK,60,20240517,150000,8.26226,8.26226,8.26226,8.26226,168.47682120000002,0
WIK,60,20240517,170000,8.30975,8.30975,8.30975,8.30975,1.0529801325,0
WIK,60,20240520,110000,8.30975,8.35723,8.30975,8.35723,411.7152318075,0
WIK,60,20240520,130000,8.30975,8.35723,8.30975,8.35723,82.13245033500002,0
WIK,60,20240520,150000,8.35723,8.35723,8.35723,8.35723,354.85430465250005,0
WIK,60,20240520,160000,8.30975,8.30975,8.30975,8.30975,284.304635775,0
WIK,60,20240520,170000,8.35723,8.35723,8.35723,8.35723,52.649006625000005,0
WIK,60,20240521,100000,8.35723,8.35723,8.35723,8.35723,4360.390728682501,0
WIK,60,20240521,110000,8.40472,8.40472,8.40472,8.40472,631.7880795,0
WIK,60,20240521,160000,8.02484,8.40472,8.02484,8.40472,696.0198675825001,0
WIK,60,20240522,100000,8.02484,8.35723,8.02484,8.35723,833.9602649400001,0
WIK,60,20240522,110000,8.02484,8.02484,8.02484,8.02484,1042.4503311750002,0
WIK,60,20240522,120000,8.1673,8.40472,8.1673,8.40472,1812.1788080325,0
WIK,60,20240522,130000,8.40472,8.49969,8.40472,8.49969,1052.9801325,0
WIK,60,20240522,140000,8.49969,8.49969,8.49969,8.49969,906.6158940825001,0
WIK,60,20240522,160000,8.49969,8.49969,8.49969,8.49969,4.21192053,0
WIK,60,20240522,170000,8.78459,9.0695,8.78459,9.0695,129.5165562975,0
WIK,60,20240523,100000,9.02201,9.02201,8.92704,9.02201,901.35099342,0
WIK,60,20240523,110000,8.87956,9.30692,8.87956,9.16447,1282.5298013850002,0
WIK,60,20240523,140000,9.11698,9.11698,9.11698,9.11698,760.251655665,0
WIK,60,20240523,160000,9.11698,9.16447,9.11698,9.16447,628.6291391025001,0
WIK,60,20240523,170000,9.16447,9.30692,9.11698,9.30692,115.827814575,0
WIK,60,20240524,100000,9.3544,9.49686,9.30692,9.49686,793.947019905,0
WIK,60,20240524,110000,9.44937,9.44937,9.44937,9.44937,57.91390728750001,0
WIK,60,20240524,160000,9.40189,9.40189,8.4522,9.0695,2463.97351005,0
WIK,60,20240524,170000,9.0695,9.25943,9.0695,9.25943,1068.7748344875,0
WIK,60,20240527,100000,8.49969,8.78459,8.49969,8.68962,4856.34437109,0
WIK,60,20240527,110000,8.68962,8.68962,8.68962,8.68962,1174.0728477375,0
WIK,60,20240527,120000,8.49969,8.68962,8.49969,8.68962,106.3509933825,0
WIK,60,20240527,130000,8.49969,8.49969,8.26226,8.4522,1219.350993435,0
WIK,60,20240527,140000,8.4522,8.49969,8.4522,8.49969,939.25827819,0
WIK,60,20240527,150000,8.64214,8.64214,8.64214,8.64214,1052.9801325,0
WIK,60,20240527,160000,8.54717,8.54717,8.54717,8.54717,105.29801325000001,0
WIK,60,20240527,170000,8.64214,8.68962,8.64214,8.68962,243.23841060750001,0
WIK,60,20240528,100000,8.54717,8.68962,8.54717,8.68962,462.25827816750007,0
WIK,60,20240528,110000,8.68962,8.68962,8.68962,8.68962,184.2715231875,0
WIK,60,20240528,170000,8.64214,8.68962,8.64214,8.68962,2550.3178809150004,0
WIK,60,20240529,100000,8.73711,8.87956,8.73711,8.87956,661.27152321,0
WIK,60,20240529,130000,8.73711,8.83208,8.68962,8.83208,1022.4437086575001,0
WIK,60,20240529,140000,8.83208,8.83208,8.83208,8.83208,105.29801325000001,0
WIK,60,20240529,150000,8.68962,8.68962,8.68962,8.68962,26.324503312500003,0
WIK,60,20240531,120000,8.73711,8.73711,8.73711,8.73711,52.649006625000005,0
WIK,60,20240531,150000,8.54717,8.68962,8.35723,8.68962,1106.6821192575,0
WIK,60,20240531,160000,8.40472,8.40472,8.40472,8.40472,42.119205300000004,0
WIK,60,20240603,100000,8.4522,8.4522,8.4522,8.4522,421.19205300000004,0
WIK,60,20240603,120000,8.4522,8.4522,8.40472,8.40472,2867.2649007975,0
WIK,60,20240603,130000,8.54717,8.54717,8.54717,8.54717,611.7814569825,0
WIK,60,20240603,140000,8.54717,8.68962,8.54717,8.68962,105.29801325000001,0
WIK,60,20240603,150000,8.54717,8.54717,8.54717,8.54717,134.78145696,0
WIK,60,20240603,160000,8.68962,8.68962,8.68962,8.68962,363.2781457125,0
WIK,60,20240603,170000,8.73711,8.78459,8.73711,8.78459,21.05960265,0
WIK,60,20240604,100000,8.83208,8.83208,8.83208,8.83208,137.94039735750002,0
WIK,60,20240604,110000,8.49969,8.68962,8.49969,8.68962,66.33774834750001,0
WIK,60,20240604,120000,8.49969,8.49969,8.49969,8.49969,63.17880795000001,0
WIK,60,20240604,140000,8.49969,8.49969,8.49969,8.49969,224.28476822250002,0
WIK,60,20240604,170000,8.64214,8.64214,8.64214,8.64214,1.0529801325,0
WIK,60,20240605,100000,8.49969,8.49969,8.4522,8.4522,940.3112583225001,0
WIK,60,20240605,120000,8.30975,8.40472,8.30975,8.40472,248.50331127,0
WIK,60,20240605,130000,8.1673,8.1673,8.1673,8.1673,448.56953644500004,0
WIK,60,20240605,140000,8.40472,8.40472,8.26226,8.26226,282.19867551,0
WIK,60,20240606,170000,8.40472,8.40472,7.69245,8.11981,2633.5033113825,0
WIK,60,20240607,120000,7.73994,7.73994,7.59748,7.59748,881.3443709025,0
WIK,60,20240607,130000,7.64497,7.64497,7.59748,7.59748,473.841059625,0
WIK,60,20240607,140000,7.64497,7.64497,7.59748,7.59748,1911.1589404875,0
WIK,60,20240607,160000,7.69245,7.69245,7.69245,7.69245,1.0529801325,0
WIK,60,20240607,170000,7.69245,7.69245,7.69245,7.69245,492.79470201000004,0
WIK,60,20240610,110000,7.69245,7.97736,7.40755,7.97736,3437.9801326125,0
WIK,60,20240610,150000,7.97736,7.97736,7.92987,7.92987,3106.291390875,0
WIK,60,20240610,160000,7.92987,7.92987,7.92987,7.92987,868.7086093125001,0
WIK,60,20240611,110000,7.78742,7.97736,7.78742,7.97736,137.94039735750002,0
WIK,60,20240611,170000,7.78742,7.97736,7.73994,7.97736,2664.039735225,0
WIK,60,20240612,100000,7.73994,7.97736,7.73994,7.97736,568.60927155,0
WIK,60,20240612,110000,7.78742,7.78742,7.78742,7.78742,306.4172185575,0
