<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLT,60,20240411,100000,8.7,9,8.67,8.8,10182,0
WLT,60,20240411,110000,8.8,8.94,8.63,8.93,1544,0
WLT,60,20240411,120000,8.66,8.7,8.65,8.65,105,0
WLT,60,20240411,130000,8.76,8.77,8.7,8.77,162,0
WLT,60,20240411,140000,8.72,8.72,8.65,8.7,2636,0
WLT,60,20240411,150000,8.69,8.7,8.66,8.66,1166,0
WLT,60,20240411,160000,8.66,8.7,8.65,8.7,1100,0
WLT,60,20240411,170000,8.65,8.69,8.65,8.69,400,0
WLT,60,20240412,100000,8.74,8.75,8.65,8.65,857,0
WLT,60,20240412,110000,8.64,8.66,8.5,8.66,766,0
WLT,60,20240412,120000,8.64,8.64,8.56,8.57,151,0
WLT,60,20240412,130000,8.6,8.6,8.54,8.57,1323,0
WLT,60,20240412,140000,8.52,8.59,8.5,8.59,4444,0
WLT,60,20240412,150000,8.5,8.5,8.45,8.48,1315,0
WLT,60,20240412,160000,8.48,8.5,8.41,8.44,2470,0
WLT,60,20240412,170000,8.48,8.48,8.44,8.44,323,0
WLT,60,20240415,100000,8.44,8.44,8.41,8.44,2386,0
WLT,60,20240415,110000,8.41,8.41,8.3,8.3,11678,0
WLT,60,20240415,120000,8.31,8.31,8.1,8.2,14608,0
WLT,60,20240415,130000,8.24,8.24,8.18,8.21,1783,0
WLT,60,20240415,140000,8.22,8.27,8.2,8.2,2057,0
WLT,60,20240415,150000,8.21,8.26,8.18,8.26,4478,0
WLT,60,20240415,160000,8.21,8.26,8.2,8.2,1572,0
WLT,60,20240415,170000,8.2,8.26,8.18,8.22,7671,0
WLT,60,20240416,100000,8.26,8.36,8.2,8.2,4285,0
WLT,60,20240416,110000,8.2,8.3,8.18,8.18,1306,0
WLT,60,20240416,120000,8.18,8.24,8.18,8.2,1405,0
WLT,60,20240416,130000,8.24,8.24,8.17,8.17,1196,0
WLT,60,20240416,140000,8.17,8.22,8.15,8.2,1146,0
WLT,60,20240416,150000,8.2,8.2,8.2,8.2,406,0
WLT,60,20240416,160000,8.15,8.18,8.15,8.18,2079,0
WLT,60,20240416,170000,8.2,8.2,8.11,8.11,1303,0
WLT,60,20240417,100000,8.12,8.24,8.12,8.15,417,0
WLT,60,20240417,110000,8.22,8.22,8.16,8.18,1318,0
WLT,60,20240417,120000,8.18,8.19,8.17,8.17,814,0
WLT,60,20240417,130000,8.17,8.17,8.12,8.12,2484,0
WLT,60,20240417,140000,8.12,8.17,8.08,8.17,6658,0
WLT,60,20240417,150000,8.17,8.17,8.09,8.09,1565,0
WLT,60,20240417,160000,8.1,8.14,8.08,8.1,1500,0
WLT,60,20240417,170000,8.13,8.14,8.02,8.1,7794,0
WLT,60,20240418,100000,8.14,8.18,8.07,8.1,3851,0
WLT,60,20240418,110000,8.1,8.1,8.06,8.06,2890,0
WLT,60,20240418,120000,8.06,8.09,8.05,8.09,8186,0
WLT,60,20240418,130000,8.08,8.09,8.08,8.09,1043,0
WLT,60,20240418,140000,8.09,8.09,8.05,8.08,3095,0
WLT,60,20240418,150000,8.08,8.08,8.05,8.06,3642,0
WLT,60,20240418,160000,8.08,8.08,8.06,8.06,203,0
WLT,60,20240418,170000,8.05,8.05,7.9,7.99,586514,0
WLT,60,20240419,100000,8.02,8.02,7.92,7.99,4180,0
WLT,60,20240419,110000,8,8,7.95,8,2887,0
WLT,60,20240419,120000,8,8,7.98,7.98,122,0
WLT,60,20240419,130000,8,8,7.98,8,2334,0
WLT,60,20240419,140000,7.99,8.04,7.98,8.04,3323,0
WLT,60,20240419,150000,8.02,8.04,7.96,8.03,2092,0
WLT,60,20240419,160000,8.02,8.02,8,8.02,1249,0
WLT,60,20240419,170000,8.03,8.08,7.99,8.08,4343,0
WLT,60,20240422,100000,8.08,8.08,7.97,7.97,3114,0
WLT,60,20240422,110000,8,8.06,8,8.06,1998,0
WLT,60,20240422,120000,8.04,8.06,7.99,8.04,2511,0
WLT,60,20240422,130000,8.04,8.04,7.96,8.04,3631,0
WLT,60,20240422,140000,8,8.04,8,8.04,78,0
WLT,60,20240422,150000,8,8.04,8,8,1181,0
WLT,60,20240422,160000,8.04,8.05,8.01,8.05,88,0
WLT,60,20240422,170000,8.01,8.06,8,8,2387,0
WLT,60,20240423,100000,8.05,8.05,7.97,8,10030,0
WLT,60,20240423,110000,8,8.02,7.96,7.96,4719,0
WLT,60,20240423,120000,8,8.02,7.98,8.01,847,0
WLT,60,20240423,130000,8.01,8.01,7.97,8.01,1249,0
WLT,60,20240423,140000,8,8.01,7.97,7.99,4489,0
WLT,60,20240423,150000,8,8,7.91,8,5655,0
WLT,60,20240423,160000,7.95,8,7.87,7.97,8807,0
WLT,60,20240423,170000,7.97,7.98,7.93,7.93,4537,0
WLT,60,20240424,100000,7.98,7.98,7.87,7.92,5399,0
WLT,60,20240424,110000,7.93,7.93,7.8,7.84,15353,0
WLT,60,20240424,120000,7.83,7.9,7.83,7.89,6486,0
WLT,60,20240424,130000,7.89,7.9,7.89,7.9,1654,0
WLT,60,20240424,140000,7.87,7.9,7.85,7.9,18060,0
WLT,60,20240424,150000,7.9,7.9,7.9,7.9,308,0
WLT,60,20240424,160000,7.87,7.87,7.86,7.86,627,0
WLT,60,20240424,170000,7.86,7.89,7.85,7.85,6245,0
WLT,60,20240425,100000,7.89,7.9,7.76,7.77,28218,0
WLT,60,20240425,110000,7.77,7.8,7.7,7.78,14083,0
WLT,60,20240425,120000,7.72,7.76,7.71,7.75,4052,0
WLT,60,20240425,130000,7.74,7.75,7.72,7.74,10760,0
WLT,60,20240425,140000,7.75,7.87,7.75,7.78,2668,0
WLT,60,20240425,150000,7.87,7.89,7.8,7.8,540,0
WLT,60,20240425,160000,7.81,7.88,7.8,7.88,5277,0
WLT,60,20240425,170000,7.79,7.87,7.79,7.8,2547,0
WLT,60,20240426,100000,7.9,7.9,7.81,7.9,4116,0
WLT,60,20240426,110000,7.9,7.9,7.88,7.9,2050,0
WLT,60,20240426,120000,7.88,7.9,7.88,7.9,2264,0
WLT,60,20240426,130000,7.9,7.9,7.89,7.89,2301,0
WLT,60,20240426,140000,7.9,7.9,7.9,7.9,5258,0
WLT,60,20240426,150000,7.89,7.9,7.89,7.9,1223,0
WLT,60,20240426,160000,7.9,7.9,7.88,7.9,5096,0
WLT,60,20240426,170000,7.9,7.9,7.86,7.86,2639,0
WLT,60,20240429,100000,7.88,7.9,7.88,7.9,1426,0
WLT,60,20240429,110000,7.9,7.9,7.89,7.9,3273,0
WLT,60,20240429,120000,7.9,7.9,7.9,7.9,502,0
WLT,60,20240429,130000,7.9,7.9,7.9,7.9,1542,0
WLT,60,20240429,140000,7.9,7.9,7.9,7.9,964,0
WLT,60,20240429,150000,7.9,7.9,7.89,7.89,2378,0
WLT,60,20240429,160000,7.9,7.9,7.89,7.9,7126,0
WLT,60,20240429,170000,7.9,7.92,7.89,7.89,4458,0
WLT,60,20240430,100000,7.93,7.94,7.89,7.9,2993,0
WLT,60,20240430,110000,7.94,7.94,7.91,7.93,645,0
WLT,60,20240430,120000,7.92,7.92,7.86,7.9,785,0
WLT,60,20240430,130000,7.9,7.9,7.86,7.86,360,0
WLT,60,20240430,140000,7.88,7.9,7.88,7.9,323,0
WLT,60,20240430,150000,7.88,7.88,7.85,7.86,1375,0
WLT,60,20240430,160000,7.85,7.9,7.85,7.85,2529,0
WLT,60,20240430,170000,7.84,7.9,7.8,7.8,2614,0
WLT,60,20240502,100000,7.76,7.9,7.76,7.88,1272,0
WLT,60,20240502,110000,7.9,7.9,7.82,7.82,2441,0
WLT,60,20240502,120000,7.82,7.82,7.82,7.82,103,0
WLT,60,20240502,130000,7.9,7.9,7.78,7.88,1047,0
WLT,60,20240502,140000,7.88,7.89,7.8,7.84,541,0
WLT,60,20240502,150000,7.8,7.9,7.8,7.8,1888,0
WLT,60,20240502,160000,7.89,7.89,7.79,7.79,332,0
WLT,60,20240502,170000,7.78,7.79,7.78,7.78,615,0
WLT,60,20240506,100000,7.77,7.78,7.71,7.76,4766,0
WLT,60,20240506,110000,7.75,7.76,7.73,7.76,2292,0
WLT,60,20240506,120000,7.76,7.76,7.73,7.73,5642,0
WLT,60,20240506,130000,7.73,7.76,7.73,7.76,954,0
WLT,60,20240506,140000,7.76,7.77,7.76,7.77,3648,0
WLT,60,20240506,150000,7.78,7.78,7.77,7.78,1078,0
WLT,60,20240506,160000,7.78,7.82,7.78,7.82,1852,0
WLT,60,20240506,170000,7.82,7.84,7.82,7.83,1733,0
WLT,60,20240507,100000,7.84,7.91,7.84,7.91,20075,0
WLT,60,20240507,110000,7.86,7.9,7.85,7.9,7174,0
WLT,60,20240507,120000,7.9,7.91,7.9,7.9,1386,0
WLT,60,20240507,130000,7.9,7.9,7.88,7.88,797,0
WLT,60,20240507,140000,7.88,7.9,7.88,7.9,1222,0
WLT,60,20240507,150000,7.9,7.9,7.87,7.87,632,0
WLT,60,20240507,160000,7.87,7.91,7.86,7.91,1887,0
WLT,60,20240507,170000,7.9,7.9,7.85,7.85,1955,0
WLT,60,20240508,100000,7.91,7.91,7.86,7.91,865,0
WLT,60,20240508,110000,7.88,7.88,7.86,7.86,540,0
WLT,60,20240508,120000,7.86,7.88,7.86,7.86,341,0
WLT,60,20240508,130000,7.86,7.88,7.86,7.88,228,0
WLT,60,20240508,140000,7.88,7.9,7.86,7.9,1390,0
WLT,60,20240508,150000,7.9,7.9,7.9,7.9,963,0
WLT,60,20240508,160000,7.9,7.9,7.88,7.9,673,0
WLT,60,20240508,170000,7.89,7.9,7.88,7.88,1897,0
WLT,60,20240509,100000,7.91,7.91,7.88,7.9,458,0
WLT,60,20240509,110000,7.9,7.9,7.82,7.85,11779,0
WLT,60,20240509,120000,7.82,7.9,7.82,7.83,3375,0
WLT,60,20240509,130000,7.86,7.9,7.84,7.84,3233,0
WLT,60,20240509,140000,7.9,7.9,7.88,7.9,2369,0
WLT,60,20240509,150000,7.9,7.9,7.9,7.9,2079,0
WLT,60,20240509,160000,7.9,7.9,7.89,7.89,2261,0
WLT,60,20240509,170000,7.9,7.9,7.89,7.89,803,0
WLT,60,20240510,100000,7.9,7.9,7.85,7.87,6002,0
WLT,60,20240510,110000,7.89,7.9,7.89,7.9,5737,0
WLT,60,20240510,120000,7.9,7.9,7.9,7.9,5352,0
WLT,60,20240510,130000,7.9,7.9,7.89,7.9,6945,0
WLT,60,20240510,140000,7.89,7.9,7.87,7.9,1833,0
WLT,60,20240510,150000,7.9,7.9,7.88,7.9,6770,0
WLT,60,20240510,160000,7.9,7.9,7.89,7.9,1108,0
WLT,60,20240510,170000,7.9,7.9,7.88,7.88,2398,0
WLT,60,20240513,100000,7.84,7.89,7.82,7.88,7027,0
WLT,60,20240513,110000,7.83,7.88,7.81,7.87,5820,0
WLT,60,20240513,120000,7.87,7.87,7.87,7.87,2510,0
WLT,60,20240513,130000,7.87,7.9,7.87,7.89,13284,0
WLT,60,20240513,140000,7.89,8,7.89,7.98,6944,0
WLT,60,20240513,150000,7.95,7.98,7.93,7.98,2446,0
WLT,60,20240513,160000,7.98,8.12,7.95,8.07,10590,0
WLT,60,20240513,170000,8.06,8.06,7.96,8.02,4187,0
WLT,60,20240514,100000,8.2,8.39,8.07,8.36,29295,0
WLT,60,20240514,110000,8.36,8.37,8.21,8.31,4369,0
WLT,60,20240514,120000,8.31,8.31,8.22,8.22,1472,0
WLT,60,20240514,130000,8.23,8.3,8.22,8.3,1237,0
WLT,60,20240514,140000,8.29,8.3,8.22,8.25,300,0
WLT,60,20240514,150000,8.3,8.3,8.25,8.28,1773,0
WLT,60,20240514,160000,8.26,8.28,8.26,8.26,529,0
WLT,60,20240514,170000,8.28,8.35,8.25,8.25,4314,0
WLT,60,20240515,100000,8.25,8.34,8.25,8.3,4188,0
WLT,60,20240515,110000,8.32,8.32,8.12,8.2,9640,0
WLT,60,20240515,120000,8.12,8.19,8.1,8.11,4345,0
WLT,60,20240515,130000,8.13,8.15,8.1,8.15,1343,0
WLT,60,20240515,140000,8.15,8.37,8.12,8.25,6730,0
WLT,60,20240515,150000,8.3,8.3,8.25,8.25,61,0
WLT,60,20240515,160000,8.28,8.28,8.27,8.28,1261,0
WLT,60,20240515,170000,8.25,8.29,8.18,8.28,3601,0
WLT,60,20240516,100000,8.29,8.29,8.15,8.2,2755,0
WLT,60,20240516,110000,8.24,8.42,8.24,8.4,17611,0
WLT,60,20240516,120000,8.44,8.48,8.4,8.48,21090,0
WLT,60,20240516,130000,8.46,8.49,8.4,8.41,4089,0
WLT,60,20240516,140000,8.41,8.42,8.41,8.41,2713,0
WLT,60,20240516,150000,8.42,8.42,8.4,8.4,1805,0
WLT,60,20240516,160000,8.38,8.38,8.25,8.33,2188,0
WLT,60,20240516,170000,8.3,8.33,8.3,8.33,1354,0
WLT,60,20240517,100000,8.32,8.32,8.1,8.1,7248,0
WLT,60,20240517,110000,8.14,8.23,8.13,8.23,4083,0
WLT,60,20240517,120000,8.23,8.23,8.16,8.16,599,0
WLT,60,20240517,130000,8.23,8.23,8.23,8.23,312,0
WLT,60,20240517,140000,8.2,8.2,8.2,8.2,752,0
WLT,60,20240517,150000,8.23,8.23,8.16,8.16,1938,0
WLT,60,20240517,160000,8.16,8.3,8.15,8.2,4669,0
WLT,60,20240517,170000,8.2,8.29,8.16,8.16,1252,0
WLT,60,20240520,100000,7.95,8.16,7.9,8.04,23577,0
WLT,60,20240520,110000,8.07,8.2,8.05,8.1,3906,0
WLT,60,20240520,120000,8.09,8.14,8.02,8.09,2840,0
WLT,60,20240520,130000,8.09,8.1,8.04,8.1,3034,0
WLT,60,20240520,140000,8.1,8.38,8.1,8.38,5118,0
WLT,60,20240520,150000,8.25,8.25,8.12,8.12,2279,0
WLT,60,20240520,160000,8.23,8.23,8.15,8.15,300,0
WLT,60,20240520,170000,8.23,8.29,8.15,8.29,3362,0
WLT,60,20240521,100000,8.17,8.28,8.17,8.23,1283,0
WLT,60,20240521,110000,8.23,8.23,8.19,8.19,393,0
WLT,60,20240521,120000,8.19,8.19,8.15,8.19,1481,0
WLT,60,20240521,130000,8.15,8.19,8.15,8.15,467,0
WLT,60,20240521,140000,8.13,8.13,8.13,8.13,213,0
WLT,60,20240521,150000,8.18,8.18,8.18,8.18,19,0
WLT,60,20240521,160000,8.16,8.19,8.16,8.16,2508,0
WLT,60,20240521,170000,8.16,8.19,8.13,8.19,2831,0
WLT,60,20240522,100000,8.19,8.2,8.14,8.2,1656,0
WLT,60,20240522,110000,8.2,8.2,8.16,8.16,1120,0
WLT,60,20240522,120000,8.2,8.2,8.17,8.17,275,0
WLT,60,20240522,130000,8.16,8.16,8.13,8.13,1039,0
WLT,60,20240522,140000,8.14,8.14,8.1,8.1,1595,0
WLT,60,20240522,150000,8.12,8.13,8.12,8.13,522,0
WLT,60,20240522,160000,8.14,8.14,8.14,8.14,1022,0
WLT,60,20240522,170000,8.13,8.18,8.12,8.12,535,0
WLT,60,20240523,100000,8.2,8.2,8.1,8.18,3158,0
WLT,60,20240523,110000,8.13,8.27,8.13,8.15,6620,0
WLT,60,20240523,120000,8.15,8.21,8.11,8.11,2892,0
WLT,60,20240523,130000,8.2,8.2,8.12,8.12,1790,0
WLT,60,20240523,140000,8.13,8.16,8.13,8.14,1285,0
WLT,60,20240523,150000,8.15,8.16,8.13,8.16,6487,0
WLT,60,20240523,160000,8.16,8.17,8.16,8.17,275,0
WLT,60,20240523,170000,8.16,8.17,8.12,8.14,3459,0
WLT,60,20240524,100000,8.17,8.17,8.1,8.11,982,0
WLT,60,20240524,110000,8.15,8.16,8.14,8.14,318,0
WLT,60,20240524,120000,8.14,8.14,8.02,8.04,8217,0
WLT,60,20240524,130000,8.03,8.05,8.03,8.05,1384,0
WLT,60,20240524,140000,8.05,8.05,8.01,8.01,3904,0
WLT,60,20240524,150000,8.02,8.05,8,8.03,12674,0
WLT,60,20240524,160000,8.04,8.04,7.99,8.02,2677,0
WLT,60,20240524,170000,8.02,8.03,8.02,8.03,706,0
WLT,60,20240527,100000,8,8,7.95,7.95,7124,0
WLT,60,20240527,110000,7.95,7.95,7.92,7.95,5033,0
WLT,60,20240527,120000,7.95,7.95,7.91,7.91,3452,0
WLT,60,20240527,130000,7.95,7.95,7.95,7.95,669,0
WLT,60,20240527,140000,7.95,7.95,7.95,7.95,930,0
WLT,60,20240527,150000,7.95,7.95,7.95,7.95,1425,0
WLT,60,20240527,160000,7.95,7.95,7.95,7.95,2100,0
WLT,60,20240527,170000,7.95,8,7.93,7.95,12206,0
WLT,60,20240528,100000,7.96,8,7.95,8,1009,0
WLT,60,20240528,110000,8,8.11,8,8.07,1668,0
WLT,60,20240528,120000,8.07,8.08,8.07,8.08,1057,0
WLT,60,20240528,130000,8.07,8.08,8.05,8.07,664,0
WLT,60,20240528,140000,8,8.05,8,8.05,7,0
WLT,60,20240528,150000,8.05,8.05,8.05,8.05,70,0
WLT,60,20240528,160000,8,8.07,8,8.07,13,0
WLT,60,20240528,170000,8.06,8.06,8.06,8.06,307,0
WLT,60,20240529,100000,7.71,7.71,7.54,7.68,79617,0
WLT,60,20240529,110000,7.71,7.8,7.68,7.8,17455,0
WLT,60,20240529,120000,7.77,8.14,7.72,7.83,5657,0
WLT,60,20240529,130000,7.83,7.86,7.72,7.85,11184,0
WLT,60,20240529,140000,7.86,7.86,7.76,7.86,8242,0
WLT,60,20240529,150000,7.85,7.86,7.76,7.86,2159,0
WLT,60,20240529,160000,7.8,7.8,7.75,7.8,739,0
WLT,60,20240529,170000,7.83,7.9,7.76,7.88,10406,0
WLT,60,20240531,100000,7.85,7.88,7.65,7.75,16534,0
WLT,60,20240531,110000,7.8,7.8,7.72,7.8,2390,0
WLT,60,20240531,120000,7.76,7.78,7.74,7.74,1013,0
WLT,60,20240531,130000,7.74,7.74,7.7,7.7,5089,0
WLT,60,20240531,140000,7.7,7.7,7.66,7.69,1921,0
WLT,60,20240531,150000,7.66,7.7,7.62,7.64,5635,0
WLT,60,20240531,160000,7.7,7.7,7.64,7.64,1620,0
WLT,60,20240531,170000,7.68,7.7,7.64,7.64,3084,0
WLT,60,20240603,100000,7.6,7.6,7.45,7.46,48413,0
WLT,60,20240603,110000,7.5,7.5,7.48,7.48,9325,0
WLT,60,20240603,120000,7.48,7.5,7.46,7.5,5299,0
WLT,60,20240603,130000,7.48,7.5,7.47,7.5,3656,0
WLT,60,20240603,140000,7.5,7.5,7.46,7.48,12223,0
WLT,60,20240603,150000,7.48,7.48,7.42,7.42,23392,0
WLT,60,20240603,160000,7.48,7.48,7.44,7.46,15407,0
WLT,60,20240603,170000,7.46,7.46,7.42,7.45,8176,0
WLT,60,20240604,100000,7.45,7.5,7.43,7.45,7521,0
WLT,60,20240604,110000,7.45,7.45,7.44,7.45,8473,0
WLT,60,20240604,120000,7.45,7.48,7.43,7.43,944,0
WLT,60,20240604,130000,7.42,7.48,7.42,7.43,1915,0
WLT,60,20240604,140000,7.43,7.44,7.4,7.4,22398,0
WLT,60,20240604,150000,7.41,7.44,7.41,7.44,141,0
WLT,60,20240604,160000,7.44,7.48,7.42,7.42,467,0
WLT,60,20240604,170000,7.42,7.45,7.42,7.44,904,0
WLT,60,20240605,100000,7.43,7.46,7.41,7.43,3083,0
WLT,60,20240605,110000,7.41,7.43,7.39,7.41,23717,0
WLT,60,20240605,120000,7.42,7.42,7.4,7.41,2369,0
WLT,60,20240605,130000,7.4,7.4,7.39,7.4,2071,0
WLT,60,20240605,140000,7.4,7.4,7.38,7.38,3317,0
WLT,60,20240605,150000,7.39,7.45,7.39,7.4,1236,0
WLT,60,20240605,160000,7.4,7.4,7.4,7.4,11239,0
WLT,60,20240605,170000,7.4,7.4,7.37,7.37,9981,0
WLT,60,20240606,100000,7.37,7.5,7.35,7.4,12919,0
WLT,60,20240606,110000,7.46,7.46,7.38,7.44,2451,0
WLT,60,20240606,120000,7.4,7.44,7.37,7.41,934,0
WLT,60,20240606,130000,7.38,7.44,7.35,7.44,3833,0
WLT,60,20240606,140000,7.4,7.4,7.4,7.4,388,0
WLT,60,20240606,150000,7.4,7.44,7.39,7.44,1574,0
WLT,60,20240606,160000,7.43,7.44,7.4,7.44,220,0
WLT,60,20240606,170000,7.43,7.43,7.38,7.38,474,0
WLT,60,20240607,100000,7.45,7.48,7.38,7.43,1972,0
WLT,60,20240607,110000,7.43,7.43,7.35,7.4,1033,0
WLT,60,20240607,120000,7.4,7.42,7.4,7.42,860,0
WLT,60,20240607,130000,7.42,7.42,7.38,7.41,1251,0
WLT,60,20240607,140000,7.38,7.41,7.38,7.39,1166,0
WLT,60,20240607,150000,7.41,7.41,7.39,7.39,2377,0
WLT,60,20240607,160000,7.41,7.41,7.4,7.4,1004,0
WLT,60,20240607,170000,7.39,7.4,7.39,7.4,3972,0
WLT,60,20240610,100000,7.41,7.48,7.41,7.48,8579,0
WLT,60,20240610,110000,7.48,7.48,7.4,7.4,7396,0
WLT,60,20240610,120000,7.39,7.39,7.37,7.38,1906,0
WLT,60,20240610,130000,7.38,7.38,7.32,7.32,9410,0
WLT,60,20240610,140000,7.37,7.38,7.35,7.35,305,0
WLT,60,20240610,150000,7.35,7.36,7.34,7.36,2418,0
WLT,60,20240610,160000,7.36,7.36,7.36,7.36,2,0
WLT,60,20240610,170000,7.36,7.38,7.33,7.33,2068,0
WLT,60,20240611,100000,7.36,7.43,7.35,7.43,14753,0
WLT,60,20240611,110000,7.43,7.45,7.3,7.38,12981,0
WLT,60,20240611,120000,7.32,7.37,7.32,7.37,16765,0
WLT,60,20240611,130000,7.37,7.37,7.32,7.37,8613,0
WLT,60,20240611,140000,7.32,7.32,7.3,7.3,540,0
WLT,60,20240611,150000,7.34,7.34,7.34,7.34,1417,0
WLT,60,20240611,160000,7.32,7.32,7.29,7.29,7199,0
WLT,60,20240611,170000,7.28,7.31,7.28,7.31,1644,0
WLT,60,20240612,100000,7.37,7.37,7.2,7.25,37783,0
WLT,60,20240612,110000,7.25,7.25,7.21,7.21,4444,0
WLT,60,20240612,120000,7.21,7.23,7.2,7.23,3222,0
WLT,60,20240612,130000,7.23,7.23,7.2,7.21,2799,0
WLT,60,20240612,140000,7.2,7.2,7.18,7.2,4812,0
WLT,60,20240612,150000,7.19,7.19,7.15,7.15,2964,0
WLT,60,20240612,160000,7.17,7.19,7.14,7.19,4776,0
WLT,60,20240612,170000,7.18,7.19,7.17,7.19,4122,0
WLT,60,20240613,100000,7.19,7.25,7.19,7.25,2811,0
WLT,60,20240613,110000,7.24,7.24,7.16,7.2,5532,0
WLT,60,20240613,120000,7.2,7.2,7.14,7.15,29808,0
WLT,60,20240613,130000,7.15,7.15,7.13,7.15,2039,0
WLT,60,20240613,140000,7.15,7.15,7.1,7.1,7683,0
WLT,60,20240613,150000,7.14,7.14,7.1,7.1,3709,0
WLT,60,20240613,160000,7.1,7.1,7,7,15730,0
WLT,60,20240613,170000,7,7,6.96,6.97,10904,0
WLT,60,20240614,100000,7,7,6.76,6.8,26399,0
WLT,60,20240614,110000,6.78,6.8,6.72,6.75,16332,0
WLT,60,20240614,120000,6.75,6.98,6.61,6.8,45647,0
WLT,60,20240614,130000,6.85,6.95,6.75,6.75,6634,0
WLT,60,20240614,140000,6.75,6.92,6.75,6.87,8645,0
WLT,60,20240614,150000,6.9,6.9,6.87,6.9,1605,0
WLT,60,20240614,160000,6.9,6.92,6.9,6.91,1649,0
WLT,60,20240614,170000,6.9,6.91,6.87,6.87,1678,0
WLT,60,20240617,100000,6.9,6.95,6.9,6.95,11992,0
WLT,60,20240617,110000,6.92,7,6.9,6.9,11461,0
WLT,60,20240617,120000,6.98,7,6.95,6.99,2001,0
WLT,60,20240617,130000,6.99,7,6.95,7,1924,0
WLT,60,20240617,140000,7,7,6.95,6.97,43782,0
WLT,60,20240617,150000,6.99,6.99,6.99,6.99,207,0
WLT,60,20240617,160000,6.95,6.99,6.94,6.98,5087,0
WLT,60,20240617,170000,6.98,7,6.98,7,380,0
WLT,60,20240618,100000,7.08,7.13,7,7.09,11038,0
WLT,60,20240618,110000,7,7.09,7,7,11369,0
