<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WXF,60,20240411,100000,3.8,3.8,3.8,3.8,1090,0
WXF,60,20240411,110000,3.8,3.8,3.8,3.8,5,0
WXF,60,20240411,120000,3.82,3.82,3.8,3.8,762,0
WXF,60,20240411,140000,3.8,3.82,3.8,3.82,6000,0
WXF,60,20240411,150000,3.8,3.8,3.8,3.8,500,0
WXF,60,20240412,100000,3.76,3.76,3.76,3.76,465,0
WXF,60,20240412,140000,3.8,3.8,3.76,3.76,525,0
WXF,60,20240412,150000,3.8,3.84,3.8,3.84,291,0
WXF,60,20240412,160000,3.8,3.8,3.8,3.8,24,0
WXF,60,20240412,170000,3.78,3.78,3.78,3.78,31,0
WXF,60,20240415,100000,3.84,3.84,3.84,3.84,6,0
WXF,60,20240415,130000,3.78,3.78,3.78,3.78,10,0
WXF,60,20240415,150000,3.78,3.79,3.78,3.79,239,0
WXF,60,20240416,100000,3.8,3.8,3.8,3.8,200,0
WXF,60,20240416,110000,3.79,3.79,3.76,3.76,1650,0
WXF,60,20240416,120000,3.78,3.78,3.78,3.78,432,0
WXF,60,20240416,130000,3.76,3.76,3.75,3.75,600,0
WXF,60,20240416,140000,3.78,3.79,3.78,3.79,2639,0
WXF,60,20240416,160000,3.75,3.78,3.72,3.78,4159,0
WXF,60,20240416,170000,3.74,3.76,3.7,3.76,346,0
WXF,60,20240417,100000,3.68,3.69,3.68,3.68,325,0
WXF,60,20240417,110000,3.73,3.73,3.73,3.73,274,0
WXF,60,20240417,160000,3.72,3.72,3.72,3.72,340,0
WXF,60,20240417,170000,3.69,3.71,3.68,3.71,728,0
WXF,60,20240418,100000,3.68,3.68,3.63,3.63,829,0
WXF,60,20240418,110000,3.63,3.63,3.63,3.63,23,0
WXF,60,20240418,120000,3.74,3.74,3.7,3.7,2730,0
WXF,60,20240418,130000,3.7,3.7,3.7,3.7,2671,0
WXF,60,20240418,170000,3.73,3.73,3.73,3.73,30,0
WXF,60,20240419,100000,3.74,3.74,3.74,3.74,20,0
WXF,60,20240419,110000,3.74,3.88,3.74,3.88,456,0
WXF,60,20240419,140000,3.75,3.85,3.75,3.85,496,0
WXF,60,20240419,150000,3.8,3.8,3.8,3.8,200,0
WXF,60,20240419,160000,3.85,3.85,3.73,3.73,3967,0
WXF,60,20240422,120000,3.73,3.73,3.73,3.73,800,0
WXF,60,20240422,140000,3.74,3.74,3.74,3.74,500,0
WXF,60,20240422,150000,3.8,3.8,3.8,3.8,5,0
WXF,60,20240423,100000,3.78,3.78,3.77,3.77,531,0
WXF,60,20240423,110000,3.76,3.76,3.76,3.76,81,0
WXF,60,20240423,120000,3.76,3.76,3.74,3.74,720,0
WXF,60,20240423,130000,3.73,3.73,3.73,3.73,199,0
WXF,60,20240423,140000,3.73,3.73,3.73,3.73,270,0
WXF,60,20240423,150000,3.72,3.72,3.66,3.66,1859,0
WXF,60,20240423,160000,3.72,3.72,3.72,3.72,1,0
WXF,60,20240423,170000,3.72,3.72,3.72,3.72,294,0
WXF,60,20240424,100000,3.77,3.77,3.77,3.77,143,0
WXF,60,20240424,120000,3.77,3.77,3.77,3.77,200,0
WXF,60,20240424,170000,3.73,3.73,3.71,3.71,220,0
WXF,60,20240425,100000,3.73,3.73,3.61,3.73,448,0
WXF,60,20240425,150000,3.7,3.7,3.7,3.7,1221,0
WXF,60,20240425,160000,3.69,3.69,3.69,3.69,272,0
WXF,60,20240425,170000,3.6,3.6,3.6,3.6,3728,0
WXF,60,20240426,100000,3.72,3.72,3.72,3.72,445,0
WXF,60,20240426,120000,3.67,3.67,3.67,3.67,20,0
WXF,60,20240426,130000,3.61,3.67,3.61,3.67,244,0
WXF,60,20240426,140000,3.67,3.67,3.67,3.67,994,0
WXF,60,20240426,150000,3.66,3.66,3.66,3.66,161,0
WXF,60,20240426,160000,3.66,3.66,3.6,3.6,1582,0
WXF,60,20240426,170000,3.64,3.73,3.64,3.73,261,0
WXF,60,20240429,130000,3.63,3.73,3.63,3.72,284,0
WXF,60,20240429,140000,3.71,3.73,3.71,3.73,538,0
WXF,60,20240429,150000,3.7,3.7,3.7,3.7,271,0
