<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZAP,60,20240411,100000,60,60.2,60,60.2,38,0
ZAP,60,20240411,110000,60.2,61,60.2,61,303,0
ZAP,60,20240411,120000,61,61,60,60,247,0
ZAP,60,20240411,130000,61,61,59.8,59.8,125,0
ZAP,60,20240411,150000,59.8,59.8,59,59,206,0
ZAP,60,20240411,160000,59,59,59,59,35,0
ZAP,60,20240412,100000,60,60,60,60,16,0
ZAP,60,20240412,130000,60,60,60,60,2,0
ZAP,60,20240412,140000,59.8,60.8,59.8,60.8,70,0
ZAP,60,20240412,170000,59.4,59.4,58.6,58.6,138,0
ZAP,60,20240415,100000,58.6,58.8,58.6,58.6,36,0
ZAP,60,20240415,110000,58.6,58.6,58.6,58.6,5,0
ZAP,60,20240415,120000,58.8,58.8,58.8,58.8,9,0
ZAP,60,20240415,130000,58.8,58.8,58.8,58.8,34,0
ZAP,60,20240415,140000,59,59,59,59,16,0
ZAP,60,20240415,170000,59,59,59,59,55,0
ZAP,60,20240416,100000,59.2,59.6,58,59.6,552,0
ZAP,60,20240416,110000,58.8,58.8,58,58,271,0
ZAP,60,20240416,120000,58.8,58.8,58.8,58.8,10,0
ZAP,60,20240416,130000,58.8,58.8,58.8,58.8,10,0
ZAP,60,20240416,140000,58.8,58.8,58.8,58.8,40,0
ZAP,60,20240416,160000,58.8,58.8,58,58.6,280,0
ZAP,60,20240417,110000,59,59.2,59,59.2,40,0
ZAP,60,20240417,120000,58,58,57.2,57.4,743,0
ZAP,60,20240417,130000,57.2,57.6,57.2,57.6,102,0
ZAP,60,20240417,140000,57.6,57.6,57.2,57.2,45,0
ZAP,60,20240417,150000,57.4,57.6,56.8,57,736,0
ZAP,60,20240417,160000,57,57.4,56.8,56.8,449,0
ZAP,60,20240417,170000,57,57,56.8,57,290,0
ZAP,60,20240418,100000,57.2,57.4,57.2,57.2,174,0
ZAP,60,20240418,120000,57.4,57.4,57.4,57.4,26,0
ZAP,60,20240418,130000,57.2,57.2,56,56,382,0
ZAP,60,20240418,140000,56.2,56.2,55.2,55.2,780,0
ZAP,60,20240418,150000,56,56,56,56,170,0
ZAP,60,20240418,160000,56,56,55.8,55.8,398,0
ZAP,60,20240418,170000,55.8,55.8,55,55,1101,0
ZAP,60,20240419,100000,56.4,56.4,54.8,55,590,0
ZAP,60,20240419,110000,54.8,55,54.8,55,165,0
ZAP,60,20240419,120000,55,56.8,55,56.8,720,0
ZAP,60,20240419,130000,56.8,56.8,56.6,56.6,23,0
ZAP,60,20240419,140000,56.6,56.8,56.6,56.8,20,0
ZAP,60,20240419,150000,56.6,57,56.6,57,92,0
ZAP,60,20240419,160000,56.8,56.8,56.8,56.8,658,0
ZAP,60,20240422,100000,56.8,57,56,57,524,0
ZAP,60,20240422,110000,57,57,57,57,31,0
ZAP,60,20240422,120000,57,57,57,57,5,0
ZAP,60,20240422,150000,57.4,58.4,57.4,58.4,539,0
ZAP,60,20240422,160000,58,58,58,58,640,0
ZAP,60,20240422,170000,58.4,58.4,58.4,58.4,4,0
ZAP,60,20240423,100000,58.4,58.4,58.2,58.2,40,0
ZAP,60,20240423,150000,58.2,58.2,58.2,58.2,3,0
ZAP,60,20240423,160000,58.2,58.2,58,58,98,0
ZAP,60,20240423,170000,58,58,58,58,1533,0
ZAP,60,20240424,140000,58,58,58,58,23,0
ZAP,60,20240424,150000,58.2,58.2,58.2,58.2,98,0
ZAP,60,20240424,160000,58.2,58.4,58,58,321,0
ZAP,60,20240425,100000,58.4,58.4,56.2,58,748,0
ZAP,60,20240425,110000,58,58,58,58,12,0
ZAP,60,20240425,120000,58,58,58,58,587,0
ZAP,60,20240425,140000,57.6,57.6,57.6,57.6,1,0
ZAP,60,20240425,150000,57.6,57.6,57.6,57.6,3,0
ZAP,60,20240425,160000,57.6,58,57.6,58,97,0
ZAP,60,20240426,100000,57,57,57,57,51,0
ZAP,60,20240426,120000,57.6,58,57.6,58,33,0
ZAP,60,20240426,140000,58,58,58,58,52,0
ZAP,60,20240426,160000,57.4,57.4,57.4,57.4,9,0
ZAP,60,20240429,100000,57,57.2,56.8,57.2,90,0
ZAP,60,20240429,110000,57.4,57.4,57,57,164,0
ZAP,60,20240429,120000,57.4,57.4,57.4,57.4,1,0
ZAP,60,20240429,130000,57,57.4,56.4,57.2,106,0
ZAP,60,20240429,150000,57.2,57.2,57.2,57.2,19,0
ZAP,60,20240429,160000,57.4,58,57.4,58,7,0
ZAP,60,20240429,170000,57.8,58,57.8,58,120,0
ZAP,60,20240430,100000,58.6,58.8,58.6,58.8,158,0
ZAP,60,20240430,110000,58.8,60.4,58.6,60,5114,0
ZAP,60,20240430,130000,59.8,59.8,59,59,50,0
ZAP,60,20240430,140000,59.6,59.6,59,59,54,0
ZAP,60,20240430,150000,59,59.6,59,59.6,169,0
ZAP,60,20240430,160000,59.2,60,59.2,60,491,0
ZAP,60,20240430,170000,59.6,60,59.6,60,81,0
ZAP,60,20240502,100000,60,60,60,60,20,0
ZAP,60,20240502,130000,59.2,60.2,59.2,60.2,225,0
ZAP,60,20240502,170000,59.2,60.2,59.2,60.2,63,0
ZAP,60,20240506,100000,59,59.8,58.6,59.8,175,0
ZAP,60,20240506,120000,59.8,59.8,59.8,59.8,1,0
ZAP,60,20240506,160000,59.8,59.8,59.8,59.8,38,0
ZAP,60,20240506,170000,58.8,59.6,58.6,59.6,93,0
ZAP,60,20240507,100000,59.6,59.6,58.6,59.6,564,0
ZAP,60,20240507,110000,60,60,60,60,11,0
ZAP,60,20240507,130000,59.6,59.6,59.6,59.6,2,0
ZAP,60,20240507,140000,59.6,60,59.6,59.6,170,0
ZAP,60,20240507,160000,60,60,59.6,59.6,5,0
ZAP,60,20240507,170000,59.6,60,59.6,60,127,0
ZAP,60,20240508,100000,60,60.4,60,60.4,76,0
ZAP,60,20240508,110000,60.4,60.4,60.4,60.4,22,0
ZAP,60,20240508,130000,60.4,60.4,59.8,59.8,19,0
ZAP,60,20240508,140000,59.8,59.8,59.8,59.8,10,0
ZAP,60,20240508,150000,60.2,60.4,59.8,59.8,170,0
ZAP,60,20240508,160000,60.4,60.4,59.8,59.8,611,0
ZAP,60,20240508,170000,59.6,60.4,58.4,59.4,713,0
ZAP,60,20240509,100000,60,60.6,60,60.4,415,0
ZAP,60,20240509,110000,60,60,60,60,10,0
ZAP,60,20240509,120000,60.4,60.4,59.8,59.8,14,0
ZAP,60,20240509,140000,60,60.6,60,60.6,705,0
ZAP,60,20240509,160000,60.6,60.8,60.4,60.8,305,0
ZAP,60,20240509,170000,60,60.8,60,60.8,33,0
ZAP,60,20240510,100000,60.4,60.6,60.2,60.2,76,0
