<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEP,60,20240411,100000,19.7,19.7,19.64,19.66,547,0
ZEP,60,20240411,110000,19.64,19.64,19.44,19.64,445,0
ZEP,60,20240411,130000,19.62,19.64,19.62,19.64,26,0
ZEP,60,20240411,140000,19.64,19.64,19.64,19.64,35,0
ZEP,60,20240411,150000,19.62,19.7,19.62,19.7,2872,0
ZEP,60,20240411,160000,19.7,19.7,19.7,19.7,8,0
ZEP,60,20240411,170000,19.58,19.68,19.54,19.68,3106,0
ZEP,60,20240412,100000,20,20,19.8,19.84,4197,0
ZEP,60,20240412,110000,19.72,19.76,19.66,19.76,1349,0
ZEP,60,20240412,120000,19.84,19.84,19.66,19.66,571,0
ZEP,60,20240412,130000,19.78,19.78,19.64,19.64,343,0
ZEP,60,20240412,140000,19.72,19.72,19.6,19.6,449,0
ZEP,60,20240412,150000,19.6,19.74,19.5,19.52,989,0
ZEP,60,20240412,160000,19.56,19.6,19.56,19.6,310,0
ZEP,60,20240412,170000,19.56,19.72,19.54,19.54,953,0
ZEP,60,20240415,100000,19.52,19.72,19.5,19.7,486,0
ZEP,60,20240415,110000,19.56,19.56,19.56,19.56,3,0
ZEP,60,20240415,120000,19.56,19.6,19.54,19.54,130,0
ZEP,60,20240415,130000,19.56,19.56,19.56,19.56,403,0
ZEP,60,20240415,140000,19.54,19.54,19.44,19.44,287,0
ZEP,60,20240415,150000,19.44,19.44,19.44,19.44,620,0
ZEP,60,20240415,160000,19.44,19.44,19.4,19.4,838,0
ZEP,60,20240415,170000,19.38,19.38,19.24,19.24,525,0
ZEP,60,20240416,100000,19.22,19.4,19.2,19.34,991,0
ZEP,60,20240416,110000,19.24,19.36,19.22,19.24,1030,0
ZEP,60,20240416,120000,19.24,19.34,19.24,19.34,233,0
ZEP,60,20240416,130000,19.24,19.26,19.24,19.24,435,0
ZEP,60,20240416,150000,19.24,19.24,19.22,19.22,795,0
ZEP,60,20240416,160000,19.22,19.22,19.2,19.2,1967,0
ZEP,60,20240416,170000,19.2,19.2,19,19.02,2146,0
ZEP,60,20240417,100000,19.1,19.3,19,19.3,619,0
ZEP,60,20240417,110000,19.16,19.3,19.14,19.3,428,0
ZEP,60,20240417,120000,19.16,19.28,19.12,19.26,298,0
ZEP,60,20240417,130000,19.26,19.28,19.26,19.28,41,0
ZEP,60,20240417,140000,19.2,19.2,19,19,1391,0
ZEP,60,20240417,150000,19.18,19.28,19.18,19.28,278,0
ZEP,60,20240417,160000,19.24,19.28,19.12,19.26,2050,0
ZEP,60,20240417,170000,19.26,19.26,19.1,19.26,1033,0
ZEP,60,20240418,100000,19.34,19.38,19.2,19.2,53,0
ZEP,60,20240418,110000,19.2,19.2,19.14,19.14,130,0
ZEP,60,20240418,120000,19.2,19.2,19.04,19.04,264,0
ZEP,60,20240418,130000,19.18,19.34,19.04,19.34,260,0
ZEP,60,20240418,140000,19.1,19.34,19.1,19.34,13,0
ZEP,60,20240418,160000,19.2,19.2,19.2,19.2,100,0
ZEP,60,20240418,170000,19.32,19.32,19.2,19.3,134,0
ZEP,60,20240419,100000,19.3,19.34,19.14,19.14,1130,0
ZEP,60,20240419,110000,19.2,19.2,19.16,19.16,102,0
ZEP,60,20240419,130000,19.16,19.16,19.16,19.16,246,0
ZEP,60,20240419,140000,19.16,19.16,19.14,19.14,137,0
ZEP,60,20240419,150000,19.16,19.16,19.16,19.16,783,0
ZEP,60,20240419,160000,19.26,19.4,19.2,19.2,1002,0
ZEP,60,20240419,170000,19.32,19.36,19.2,19.36,400,0
ZEP,60,20240422,100000,19.88,19.92,19.42,19.7,5765,0
ZEP,60,20240422,110000,19.7,19.8,19.52,19.8,3716,0
ZEP,60,20240422,120000,19.8,20,19.8,19.96,5051,0
ZEP,60,20240422,130000,19.82,19.98,19.82,19.82,2490,0
ZEP,60,20240422,140000,19.78,19.78,19.78,19.78,1000,0
ZEP,60,20240422,150000,19.8,19.96,19.8,19.9,738,0
ZEP,60,20240422,160000,19.9,19.98,19.9,19.94,2028,0
ZEP,60,20240422,170000,19.9,19.9,19.64,19.7,2951,0
ZEP,60,20240423,100000,19.8,19.8,19.7,19.8,3541,0
ZEP,60,20240423,110000,19.7,19.8,19.7,19.8,1555,0
ZEP,60,20240423,120000,19.8,19.82,19.7,19.82,2606,0
ZEP,60,20240423,130000,19.82,19.82,19.8,19.8,706,0
ZEP,60,20240423,140000,19.74,19.86,19.74,19.86,1761,0
ZEP,60,20240423,150000,19.76,19.86,19.76,19.8,541,0
ZEP,60,20240423,160000,19.8,19.8,19.76,19.76,489,0
ZEP,60,20240423,170000,19.8,19.8,19.74,19.8,1962,0
ZEP,60,20240424,100000,19.74,19.8,19.74,19.74,871,0
ZEP,60,20240424,110000,19.8,19.8,19.78,19.78,515,0
ZEP,60,20240424,120000,19.78,19.78,19.74,19.74,302,0
ZEP,60,20240424,130000,19.74,19.86,19.48,19.68,5550,0
ZEP,60,20240424,140000,19.68,19.7,19.58,19.66,1314,0
ZEP,60,20240424,150000,19.66,19.78,19.66,19.78,654,0
ZEP,60,20240424,160000,19.66,19.66,19.52,19.6,664,0
ZEP,60,20240424,170000,19.6,19.78,19.56,19.58,510,0
ZEP,60,20240425,100000,19.56,19.6,19.56,19.6,1222,0
ZEP,60,20240425,110000,19.6,19.6,19.5,19.5,2501,0
ZEP,60,20240425,120000,19.56,19.56,19.5,19.52,402,0
ZEP,60,20240425,130000,19.52,19.52,19.52,19.52,23,0
ZEP,60,20240425,140000,19.52,19.52,19.52,19.52,715,0
ZEP,60,20240425,150000,19.5,19.5,19.5,19.5,383,0
ZEP,60,20240425,160000,19.5,19.58,19.46,19.58,373,0
ZEP,60,20240425,170000,19.46,19.54,19.4,19.54,382,0
ZEP,60,20240426,100000,19.78,19.78,19.5,19.7,1867,0
ZEP,60,20240426,110000,19.7,19.78,19.52,19.52,991,0
ZEP,60,20240426,120000,19.6,19.6,19.54,19.54,165,0
ZEP,60,20240426,130000,19.7,19.74,19.7,19.74,75,0
ZEP,60,20240426,140000,19.7,19.7,19.7,19.7,58,0
ZEP,60,20240426,150000,19.64,19.7,19.62,19.7,139,0
ZEP,60,20240426,160000,19.7,19.7,19.7,19.7,21,0
ZEP,60,20240426,170000,19.7,19.7,19.7,19.7,335,0
ZEP,60,20240429,100000,19.72,19.78,19.6,19.76,2525,0
ZEP,60,20240429,110000,19.7,19.7,19.7,19.7,579,0
ZEP,60,20240429,120000,19.7,19.72,19.6,19.6,2134,0
ZEP,60,20240429,130000,19.6,19.72,19.6,19.66,422,0
ZEP,60,20240429,150000,19.7,19.72,19.7,19.72,187,0
