<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUK,60,20240411,140000,2.56,2.56,2.56,2.56,500,0
ZUK,60,20240411,160000,2.62,2.62,2.62,2.62,1113,0
ZUK,60,20240411,170000,2.56,2.56,2.56,2.56,1600,0
ZUK,60,20240412,100000,2.52,2.52,2.5,2.5,900,0
ZUK,60,20240412,140000,2.52,2.62,2.52,2.62,1400,0
ZUK,60,20240415,150000,2.62,2.62,2.5,2.5,7263,0
ZUK,60,20240415,160000,2.48,2.48,2.48,2.48,500,0
ZUK,60,20240415,170000,2.48,2.48,2.48,2.48,642,0
ZUK,60,20240416,100000,2.48,2.48,2.48,2.48,6000,0
ZUK,60,20240416,120000,2.52,2.52,2.52,2.52,1390,0
ZUK,60,20240417,140000,2.52,2.52,2.52,2.52,4,0
ZUK,60,20240417,170000,2.52,2.52,2.52,2.52,2900,0
ZUK,60,20240418,110000,2.52,2.52,2.5,2.5,5142,0
ZUK,60,20240418,160000,2.5,2.5,2.5,2.5,444,0
ZUK,60,20240419,120000,2.52,2.52,2.52,2.52,3000,0
ZUK,60,20240419,140000,2.5,2.5,2.5,2.5,2378,0
ZUK,60,20240419,170000,2.5,2.5,2.5,2.5,250,0
ZUK,60,20240422,120000,2.46,2.46,2.44,2.44,888,0
ZUK,60,20240422,150000,2.44,2.44,2.44,2.44,200,0
ZUK,60,20240422,170000,2.46,2.46,2.46,2.46,300,0
ZUK,60,20240423,100000,2.52,2.52,2.52,2.52,1185,0
ZUK,60,20240423,140000,2.46,2.46,2.46,2.46,365,0
ZUK,60,20240423,150000,2.46,2.46,2.46,2.46,200,0
ZUK,60,20240423,170000,2.46,2.5,2.46,2.5,110,0
ZUK,60,20240424,100000,2.46,2.46,2.24,2.38,6461,0
ZUK,60,20240424,160000,2.34,2.34,2.34,2.34,200,0
ZUK,60,20240424,170000,2.4,2.4,2.4,2.4,200,0
ZUK,60,20240425,100000,2.4,2.4,2.4,2.4,168,0
ZUK,60,20240425,110000,2.4,2.4,2.36,2.36,1710,0
ZUK,60,20240425,120000,2.34,2.34,2.34,2.34,100,0
ZUK,60,20240425,140000,2.34,2.34,2.34,2.34,725,0
ZUK,60,20240425,150000,2.34,2.34,2.34,2.34,2899,0
ZUK,60,20240426,100000,2.32,2.32,2.32,2.32,5631,0
ZUK,60,20240426,110000,2.32,2.32,2.32,2.32,10,0
ZUK,60,20240426,120000,2.4,2.4,2.4,2.4,1060,0
ZUK,60,20240426,170000,2.34,2.34,2.32,2.32,250,0
ZUK,60,20240429,110000,2.32,2.32,2.32,2.32,2558,0
ZUK,60,20240430,100000,2.32,2.32,2.32,2.32,1001,0
ZUK,60,20240430,120000,2.32,2.32,2.28,2.32,4104,0
ZUK,60,20240430,140000,2.32,2.32,2.32,2.32,858,0
ZUK,60,20240506,100000,2.32,2.32,2.28,2.28,1200,0
ZUK,60,20240506,120000,2.32,2.32,2.32,2.32,100,0
ZUK,60,20240506,170000,2.28,2.28,2.28,2.28,442,0
ZUK,60,20240507,100000,2.32,2.32,2.32,2.32,32,0
ZUK,60,20240507,110000,2.26,2.26,2.24,2.24,2900,0
ZUK,60,20240507,140000,2.26,2.32,2.26,2.32,29818,0
ZUK,60,20240507,150000,2.38,2.38,2.38,2.38,1505,0
ZUK,60,20240507,160000,2.32,2.34,2.32,2.34,86,0
ZUK,60,20240507,170000,2.34,2.4,2.3,2.4,200,0
ZUK,60,20240508,100000,2.38,2.4,2.28,2.28,9417,0
ZUK,60,20240508,120000,2.4,2.4,2.4,2.4,500,0
ZUK,60,20240508,130000,2.4,2.4,2.4,2.4,3300,0
ZUK,60,20240508,140000,2.4,2.4,2.4,2.4,2849,0
ZUK,60,20240508,150000,2.44,2.44,2.44,2.44,13,0
ZUK,60,20240508,160000,2.44,2.6,2.44,2.6,5038,0
ZUK,60,20240508,170000,2.62,2.62,2.6,2.6,110,0
ZUK,60,20240509,100000,2.52,2.52,2.36,2.5,6161,0
ZUK,60,20240509,110000,2.5,2.5,2.48,2.5,8289,0
ZUK,60,20240509,130000,2.42,2.42,2.42,2.42,1000,0
ZUK,60,20240509,150000,2.48,2.48,2.4,2.4,3580,0
ZUK,60,20240509,160000,2.42,2.48,2.4,2.4,463,0
ZUK,60,20240509,170000,2.4,2.4,2.4,2.4,3656,0
ZUK,60,20240510,100000,2.48,2.68,2.48,2.68,10190,0
ZUK,60,20240510,110000,2.62,2.66,2.6,2.6,5454,0
ZUK,60,20240510,120000,2.6,2.62,2.6,2.62,2231,0
ZUK,60,20240510,130000,2.62,2.66,2.62,2.66,1113,0
ZUK,60,20240510,140000,2.66,2.66,2.66,2.66,900,0
ZUK,60,20240510,150000,2.66,2.66,2.6,2.6,550,0
ZUK,60,20240510,170000,2.6,2.6,2.6,2.6,2001,0
ZUK,60,20240513,100000,2.58,2.58,2.5,2.5,8405,0
ZUK,60,20240513,110000,2.5,2.6,2.5,2.6,3461,0
ZUK,60,20240513,120000,2.58,2.7,2.52,2.52,10501,0
ZUK,60,20240513,130000,2.62,2.68,2.62,2.68,3001,0
ZUK,60,20240513,140000,2.6,2.62,2.6,2.62,552,0
ZUK,60,20240513,150000,2.6,2.6,2.6,2.6,1001,0
ZUK,60,20240513,160000,2.6,2.6,2.5,2.6,5957,0
ZUK,60,20240513,170000,2.5,2.62,2.5,2.62,5305,0
ZUK,60,20240514,100000,2.62,2.62,2.6,2.6,3000,0
ZUK,60,20240514,150000,2.62,2.62,2.62,2.62,345,0
ZUK,60,20240515,100000,2.6,2.6,2.6,2.6,1482,0
ZUK,60,20240515,150000,2.52,2.52,2.5,2.5,718,0
ZUK,60,20240515,170000,2.52,2.52,2.52,2.52,534,0
ZUK,60,20240516,110000,2.5,2.52,2.5,2.52,1192,0
ZUK,60,20240516,120000,2.54,2.54,2.54,2.54,4,0
ZUK,60,20240517,100000,2.54,2.54,2.54,2.54,30,0
ZUK,60,20240517,110000,2.52,2.52,2.5,2.5,3856,0
ZUK,60,20240517,120000,2.5,2.5,2.5,2.5,144,0
ZUK,60,20240517,150000,2.5,2.5,2.5,2.5,400,0
ZUK,60,20240517,170000,2.48,2.52,2.48,2.52,241,0
ZUK,60,20240520,120000,2.52,2.52,2.52,2.52,3000,0
ZUK,60,20240520,160000,2.54,2.54,2.54,2.54,780,0
ZUK,60,20240520,170000,2.5,2.5,2.5,2.5,220,0
ZUK,60,20240521,100000,2.58,2.58,2.58,2.58,18,0
ZUK,60,20240521,110000,2.58,2.58,2.58,2.58,4,0
ZUK,60,20240521,130000,2.58,2.58,2.58,2.58,21,0
ZUK,60,20240521,150000,2.52,2.52,2.5,2.5,3004,0
ZUK,60,20240521,160000,2.46,2.46,2.46,2.46,18,0
ZUK,60,20240522,100000,2.48,2.48,2.48,2.48,850,0
ZUK,60,20240522,170000,2.5,2.5,2.5,2.5,225,0
ZUK,60,20240523,120000,2.46,2.46,2.46,2.46,1,0
ZUK,60,20240523,140000,2.46,2.46,2.46,2.46,400,0
ZUK,60,20240523,150000,2.46,2.46,2.46,2.46,60,0
ZUK,60,20240524,100000,2.52,2.52,2.52,2.52,368,0
ZUK,60,20240524,110000,2.52,2.52,2.52,2.52,2371,0
ZUK,60,20240524,170000,2.52,2.52,2.52,2.52,261,0
ZUK,60,20240527,100000,2.46,2.5,2.46,2.5,3021,0
ZUK,60,20240527,130000,2.52,2.58,2.52,2.54,3037,0
ZUK,60,20240528,100000,2.56,2.56,2.56,2.56,17,0
ZUK,60,20240528,110000,2.5,2.5,2.5,2.5,5000,0
ZUK,60,20240528,140000,2.5,2.5,2.5,2.5,617,0
ZUK,60,20240528,170000,2.5,2.5,2.42,2.42,606,0
ZUK,60,20240529,100000,2.42,2.42,2.42,2.42,2078,0
ZUK,60,20240529,130000,2.46,2.52,2.46,2.52,50,0
ZUK,60,20240531,160000,2.42,2.42,2.42,2.42,140,0
ZUK,60,20240603,100000,2.4,2.4,2.4,2.4,1500,0
ZUK,60,20240603,120000,2.46,2.5,2.46,2.5,187,0
ZUK,60,20240603,150000,2.42,2.42,2.42,2.42,5,0
ZUK,60,20240605,110000,2.42,2.42,2.4,2.4,2471,0
ZUK,60,20240605,120000,2.4,2.4,2.4,2.4,1698,0
ZUK,60,20240605,170000,2.4,2.4,2.4,2.4,2897,0
ZUK,60,20240606,100000,2.4,2.4,2.4,2.4,50,0
ZUK,60,20240606,110000,2.4,2.4,2.4,2.4,200,0
ZUK,60,20240606,120000,2.4,2.4,2.4,2.4,122,0
ZUK,60,20240607,100000,2.4,2.4,2.4,2.4,393,0
ZUK,60,20240607,130000,2.4,2.4,2.4,2.4,2075,0
ZUK,60,20240607,140000,2.4,2.44,2.4,2.44,1050,0
ZUK,60,20240607,170000,2.44,2.44,2.44,2.44,650,0
ZUK,60,20240610,100000,2.44,2.44,2.44,2.44,41,0
ZUK,60,20240611,110000,2.4,2.4,2.4,2.4,1,0
ZUK,60,20240612,100000,2.4,2.4,2.4,2.4,1900,0
ZUK,60,20240612,120000,2.38,2.38,2.36,2.36,100,0
ZUK,60,20240614,100000,2.36,2.4,2.36,2.4,57,0
ZUK,60,20240614,140000,2.4,2.4,2.4,2.4,1660,0
ZUK,60,20240617,100000,2.4,2.4,2.4,2.4,15,0
ZUK,60,20240617,120000,2.4,2.4,2.4,2.4,3490,0
ZUK,60,20240618,100000,2.4,2.4,2.4,2.4,100,0
ZUK,60,20240618,120000,2.38,2.38,2.36,2.36,900,0
ZUK,60,20240618,170000,2.32,2.32,2.32,2.32,90,0
ZUK,60,20240619,100000,2.34,2.4,2.34,2.4,50,0
ZUK,60,20240619,110000,2.32,2.32,2.32,2.32,455,0
ZUK,60,20240619,120000,2.34,2.4,2.34,2.4,32,0
ZUK,60,20240619,140000,2.4,2.4,2.4,2.4,50,0
ZUK,60,20240619,150000,2.4,2.4,2.3,2.3,984,0
ZUK,60,20240619,160000,2.3,2.3,2.3,2.3,474,0
ZUK,60,20240619,170000,2.26,2.26,2.26,2.26,300,0
ZUK,60,20240620,130000,2.3,2.36,2.3,2.36,400,0
ZUK,60,20240624,100000,2.36,2.36,2.3,2.3,2120,0
ZUK,60,20240624,120000,2.3,2.3,2.3,2.3,555,0
ZUK,60,20240624,170000,2.32,2.32,2.32,2.32,1500,0
ZUK,60,20240627,110000,2.3,2.3,2.3,2.3,250,0
ZUK,60,20240627,120000,2.3,2.32,2.3,2.32,3458,0
ZUK,60,20240628,100000,2.3,2.3,2.3,2.3,5,0
ZUK,60,20240628,110000,2.3,2.3,2.3,2.3,200,0
ZUK,60,20240701,100000,2.26,2.32,2.26,2.32,945,0
ZUK,60,20240702,110000,2.26,2.28,2.26,2.28,210,0
ZUK,60,20240702,130000,2.26,2.26,2.24,2.24,250,0
ZUK,60,20240702,140000,2.26,2.26,2.26,2.26,20,0
ZUK,60,20240702,170000,2.26,2.26,2.24,2.24,155,0
ZUK,60,20240703,100000,2.24,2.26,2.24,2.26,316,0
ZUK,60,20240703,160000,2.26,2.32,2.26,2.32,2500,0
ZUK,60,20240704,110000,2.32,2.34,2.32,2.34,560,0
ZUK,60,20240704,140000,2.36,2.36,2.36,2.36,700,0
ZUK,60,20240704,170000,2.32,2.32,2.32,2.32,76,0
ZUK,60,20240705,100000,2.36,2.36,2.36,2.36,1806,0
ZUK,60,20240705,170000,2.36,2.36,2.36,2.36,1394,0
ZUK,60,20240710,120000,2.32,2.32,2.32,2.32,10,0
ZUK,60,20240710,150000,2.36,2.36,2.36,2.36,10,0
